ITEM,Custo do Item,Quantidade gasto m�s,Quantidade pe�as produzidas mes,Custo por pe�a produzida,Total,,,,,SOLDA
TUGSTENIO, R$ 150.00 ,5,3000, R$ 0.25 , R$ 1.06 ,,,,,
G�s," R$ 1,200.00 ",2,3000, R$ 0.80 ,,,,,,
Epi, R$ 20.00 ,2,3000, R$ 0.01 ,,,,,,
,,,3000, R$ -   ,,,,,,
,,,3000, R$ -   ,,,,,,
,,,3000, R$ -   ,,,,,,
,,,,,,,,,,
Disco Lixadeira, R$ 1.99 ,40,3000, R$ 0.03 , R$ 0.31 ,,,,,CORTE LIXADEIRA
Flap, R$ 3.19 ,80,3000, R$ 0.09 ,,,,,,
escova a�o, R$ 58.90 ,10,3000, R$ 0.20 ,,,,,,
,,,,,,,,,,
Pastilhas, R$ 13.30 ,10,3000, R$ 0.04 , R$ 1.71 ,,,,,TORNEAMENTO
Brocas, R$ 150.00 ,2,3000, R$ 1.67 ,,,,,,
,,,3000,,,,,,,
,,,,,,,,,,
PORCELANA CER�MICA ESFERA - 4mm," R$ 2,600.00 ",1,9000, R$ 0.29 , R$ 0.71 ,,,,,ACABAMENTO
COMPOSTO LIQUIDO D- - 042, R$ 375.60 ,1,9000, R$ 0.04 ,,,,,,
CHIPS POLIESTER PP - C-15X15," R$ 1,695.00 ",1,9000, R$ 0.19 ,,,,,,
PASTA D- - 047," R$ 1,695.00 ",1,9000, R$ 0.19 ,,,,,,
,,,,,,,,,,
,,,3000,,,,,,,
Brocas, R$ 150.00 ,1,3000, R$ 0.83 , R$ 0.83 ,,,,,FURA��O
,,,,,,,,,,
,,,,,,,,,,
,,,3000, R$ -   , R$ 0.07 ,,,,,TRATAMENTO 
DECAPANTE, R$ 100.00 ,2,3000, R$ 0.07 ,,,,,,
,,,,,,,,,,
Energia El�trica, R$ 748.54 ,1,3000, R$ 0.25 , R$ 2.25 ,,,,,Geral
Aluguel," R$ 6,000.00 ",1,3000, R$ 2.00 ,,,,,,
